,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
168,168,2020-03-09,"54,200","-2,300",30261485,10484995,10633303,-148308,3391360,13311173,-9919813,10068121,,,16385130,6317009,54.145161746028,19.85743033766819,20.874748876335712,-5.3970677751803615,33.27041286969229,-0.4900883086206774,-32.78032456107161
169,169,2020-03-06,"56,500","-1,300",18716656,8528734,9521959,-993225,3190520,5944424,-2753904,3747129,,,6997402,3250273,37.38596253518792,-16.75919921084008,17.365671517390712,-3.5090773589449995,20.020291017797195,-5.306637040291813,-14.713653977505384
170,170,2020-03-05,"57,800",400,21698990,9518866,10370659,-851793,4203739,6408213,-2204474,3056267,,,7976385,4920118,36.759245476402356,-0.6267170587855588,22.67441019144209,5.308738674051376,14.084835284960267,-3.9254960714761378,-10.15933921348413
171,171,2020-03-04,"57,400","2,000",24765728,9855970,10903410,-1047440,8077274,5003529,3073745,-2026305,,,6832484,8858789,27.58846418728333,-9.170781289119027,35.77035571092439,13.095945519482305,-8.181891523641058,-4.229393135546026,12.411284659187084
172,172,2020-03-03,"55,400",400,30330295,11633603,13331971,-1698368,7244305,9722384,-2478079,4176447,,,11452387,7275940,37.7589040924264,10.17043990514307,23.98901824067323,-11.781337470251167,13.769885851753173,-5.599576265248986,-8.170309586504187
173,173,2020-03-02,"55,000",800,30403412,12206451,9990735,2215716,6634403,13655390,-7020987,4805271,,,11562558,6757287,38.030461844216696,0.2715577517902972,22.225423251837654,-1.7635949888355675,15.80503859237904,7.287721522834345,-23.092760115213384
174,174,2020-02-28,"54,200","-1,700",30054227,12611677,9786648,2825029,8140327,13314782,-5174455,2349426,,,9302223,6952797,30.95146316689496,-7.078998677321736,23.13417343923036,0.9087501873927052,7.817289727664598,9.399772617675378,-17.217062345339976
175,175,2020-02-27,"55,900",-600,23209541,10368801,10478966,-110165,5259588,8211594,-2952006,3062171,,,7581152,4518981,32.6639462624444,1.7124830955494377,19.470359194091774,-3.6638142451385893,13.193587068352622,-0.474653936499649,-12.718933131852975
176,176,2020-02-26,"56,500","-1,400",25483102,11489239,10983443,505796,4194810,11228355,-7033545,6527749,,,9799053,3271304,38.45314043792627,5.7891941754818745,12.837149888581068,-6.633209305510707,25.61599054934521,1.9848290055111815,-27.60081955485639
177,177,2020-02-25,"57,900","1,100",23885408,11074596,9684954,1389642,4805764,9663023,-4857259,3467617,,,8005048,4537431,33.5143866916571,-4.938753746269171,18.99666524431988,6.1595153557388125,14.51772144733722,5.817953790029461,-20.33567523736668
