,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
48,48,2020-08-31,224000.0,-2000.0,805029,332783,203906,128877,140140,356823,-216683,87806,332106,244300,41.25391756073384,1.4652521224260866,30.3467328506178,-34.77082459483279,10.907184710116033,16.0089884960666,-26.916173206182634
49,49,2020-08-28,226000.0,9000.0,778178,356650,144729,211921,176534,210201,-33667,-178254,244994,423248,31.483028304578127,-9.770889256155707,54.38961265931445,24.042879808696647,-22.90658435473632,27.232972404771147,-4.326388050034825
50,50,2020-08-27,217000.0,-6500.0,322599,88826,104976,-16150,31820,77170,-45350,61500,201953,140453,62.60186795371342,31.1188396491353,43.537952690491906,-10.851659968822535,19.063915263221524,-5.006215146358172,-14.05770011686335
51,51,2020-08-26,223500.0,4000.0,345505,118942,119253,-311,86004,50067,35937,-35626,140559,176185,40.68218983806312,-21.919678115650306,50.9934733216596,7.455520631167687,-10.311283483596474,-0.09001316912924559,10.401296652725721
52,52,2020-08-25,219500.0,2500.0,377235,147220,149952,-2732,84449,52800,31649,-28917,145566,174483,38.587617797924366,-2.0945720401387504,46.25313133723011,-4.7403419844294925,-7.665513539305738,-0.7242170000132543,8.389730539318991
53,53,2020-08-24,217000.0,6000.0,295989,117794,118123,-329,88402,53301,35101,-34772,89793,124565,30.336600346634498,-8.251017451289872,42.08433421512286,-4.16879712210725,-11.747733868488355,-0.11115277932625875,11.858886647814614
54,54,2020-08-21,211000.0,6500.0,392349,118790,127795,-9005,154308,103855,50453,-41448,119251,160699,30.39411340413764,0.057513057503140175,40.95817754091383,-1.126156674209028,-10.564064136776187,-2.2951504910169263,12.859214627793113
55,55,2020-08-20,204500.0,-12500.0,519337,176656,199303,-22647,45395,117716,-72321,94968,297286,202318,57.24336991202246,26.849256507884803,38.95697783905249,-2.0011997018613457,18.28639207296996,-4.360752266832519,-13.92563980613744
56,56,2020-08-19,217000.0,2500.0,369044,122861,88751,34110,86473,148360,-61887,27777,159710,131933,43.2766824552086,-13.966687456813851,35.74993767680819,-3.2070401622442968,7.526744778400407,9.242800316493426,-16.769545094893832
57,57,2020-08-18,214500.0,-9500.0,535693,198906,163030,35876,104746,138230,-33484,-2392,232041,234433,43.316041090699336,0.0393586354907427,43.76256549926917,8.012627822460985,-0.44652440856983383,6.697119432212107,-6.250595023642273
