,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
125,2020-05-13,218500.0,-1000.0,1014692,198159,278171,-80012,315052,439019,-123967,203979,,,501481,297502,49.42199209218167,7.5284453767630595,29.319438805075826,-4.501413961516164
126,2020-05-12,219500.0,5000.0,1056584,199099,224432,-25333,423565,478655,-55090,80423,,,433920,353497,41.068197133403494,-8.353794958778174,33.4565921876538,4.137153382577971
127,2020-05-11,214500.0,500.0,599328,155067,182558,-27491,158199,200761,-42562,70053,,,286062,216009,47.730458113086655,6.662260979683161,36.04186689091783,2.5852747032640337
128,2020-05-08,214000.0,-1500.0,732394,161167,230068,-68901,271779,271417,362,68539,,,299448,230909,40.88618967386407,-6.8442684392225885,31.527975379372304,-4.513891511545527
129,2020-05-07,215500.0,3500.0,984024,182367,216338,-33971,455589,409576,46013,-12042,,,346068,358110,35.16865442306285,-5.71753525080122,36.392405063291136,4.864429683918832
130,2020-05-06,212000.0,13000.0,992225,324003,240140,83863,303945,330489,-26544,-57319,,,364277,421596,36.71314470004283,1.5444902769799853,42.489959434604046,6.09755437131291
131,2020-05-04,199000.0,1500.0,1104027,157727,343924,-186197,685158,490348,194810,-8613,,,261142,269755,23.65358818217308,-13.059556517869751,24.43373214604353,-18.056227288560518
132,2020-04-29,197500.0,-500.0,676743,139629,240519,-100890,341697,244827,96870,4020,,,195417,191397,28.876102153993465,5.2225139718203835,28.28208049436788,3.8483483483243504
133,2020-04-28,198000.0,500.0,433549,114064,154772,-40708,175300,151644,23656,17052,,,144185,127133,33.2569098302614,4.380807676267935,29.323790390474898,1.0417098961070188
134,2020-04-27,197500.0,5000.0,927347,289412,256588,32824,323749,344147,-20398,-12426,,,314186,326612,33.88009019277574,0.62318036251434,35.22004168881767,5.896251298342776
135,2020-04-24,192500.0,2500.0,928695,280120,255379,24741,286629,254250,32379,-57120,,,361946,419066,38.97361351143271,5.09352331865697,45.1241796284033,9.904137939585624
136,2020-04-23,190000.0,8000.0,1521478,542023,298162,243861,380727,375407,5320,-249181,,,598728,847909,39.35173561497439,0.37812210354167775,55.72929743315381,10.605117804750513
137,2020-04-22,182000.0,3500.0,611589,216554,184653,31901,211125,223812,-12687,-19214,,,183910,203124,30.070848233045393,-9.280887381928995,33.21250055184119,-22.516796881312622
138,2020-04-21,178500.0,-1500.0,759150,250514,218587,31927,274121,274326,-205,-31722,,,234515,266237,30.8917868668906,0.8209386338452092,35.07040769281433,1.8579071409731398
139,2020-04-20,180000.0,1000.0,663723,143455,194918,-51463,289987,216279,73708,-22245,,,230281,252526,34.695347306029774,3.803560439139172,38.0468960695953,2.9764883767809707
140,2020-04-17,179000.0,8500.0,900031,267363,153737,113626,271155,207106,64049,-177675,,,361513,539188,40.166727590494105,5.471380284464331,59.90771428984113,21.860818220245832
141,2020-04-16,170500.0,2000.0,841066,252440,132738,119702,378618,397431,-18813,-100889,,,210008,310897,24.96926519440805,-15.197462396086056,36.96463773354291,-22.943076556298223
142,2020-04-14,168500.0,2500.0,520725,223214,77224,145990,132018,187378,-55360,-90630,,,165493,256123,31.781266503432715,6.812001309024666,49.185846656104474,12.221208922561566
143,2020-04-13,166000.0,-500.0,413768,138728,170846,-32118,134016,82430,51586,-19468,,,141024,160492,34.082867693973434,2.301601190540719,38.7879198004679,-10.397926855636577
144,2020-04-10,166500.0,-1000.0,483720,179789,235582,-55793,93120,129062,-35942,91735,,,210811,119076,43.58120400231539,9.498336308341955,24.616720416770033,-14.171199383697864
145,2020-04-09,167500.0,1000.0,682921,265528,287212,-21684,190166,270793,-80627,102311,,,227227,124916,33.27280900719117,-10.308394995124218,18.29142755897095,-6.325292857799084
146,2020-04-08,166500.0,-3000.0,588577,161619,322304,-160685,144252,139162,5090,155595,,,282706,127111,48.03211814257098,14.759309135379809,21.596324694984684,3.304897136013736
147,2020-04-07,169500.0,-3500.0,873091,185339,409425,-224086,173781,241122,-67341,291427,,,513971,222544,58.867975961268634,10.835857818697654,25.489210173968118,3.892885478983434
148,2020-04-06,173000.0,1000.0,655547,234436,188425,46011,101153,251383,-150230,104219,,,319958,215739,48.80778952538872,-10.060186435879913,32.909768483419185,7.420558309451067
149,2020-04-03,172000.0,-1500.0,663454,284095,172917,111178,163915,349405,-185490,74312,,,215444,141132,32.473087810157146,-16.334701715231574,21.272311268000493,-11.637457215418692
150,2020-04-02,173500.0,10500.0,1086863,350250,268480,81770,450247,429294,20953,-102723,,,286366,389089,26.347938976669553,-6.125148833487593,35.79926816903327,14.526956901032776
151,2020-04-01,163000.0,-7000.0,720283,171792,265524,-93732,344108,331260,12848,80884,,,204383,123499,28.37537467911918,2.027435702449626,17.145899597796976,-18.653368571236292
152,2020-03-31,170000.0,7500.0,858165,234791,239772,-4981,448027,407215,40812,-35831,,,175347,211178,20.43278390519306,-7.942590773926121,24.608088188168942,7.462188590371966
