,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
70,2020-07-29,125000.0,2000.0,1897616,745033,557504,187529,292027,211764,80263,-267792,,860556,1128348,45.349322518359884,-7.680939973544795,59.46134518258699,0.8678405735210291
71,2020-07-28,123000.0,-500.0,1765179,513155,671731,-158576,185588,304639,-119051,277627,,1066436,788809,60.41517602464113,15.065853506281243,44.68719602941118,-14.774149153175806
72,2020-07-27,123500.0,1000.0,2046059,833751,806250,27501,177509,232220,-54711,27210,,1034799,1007589,50.57522779157395,-9.839948233067176,49.24535411735439,4.558158087943205
73,2020-07-24,122500.0,-2000.0,3908721,1343899,1295920,47979,497553,575954,-78401,30422,,2067269,2036847,52.88863032178557,2.3134025302116186,52.11031946255565,2.864965345201263
74,2020-07-23,124500.0,6000.0,4505464,1638712,1323106,315606,595036,461398,133638,-449244,,2271716,2720960,50.42135504800393,-2.467275273781638,60.392447925452295,8.282128462896644
75,2020-07-22,118500.0,-3000.0,2395083,747491,739784,7707,169901,380648,-210747,203040,,1477691,1274651,61.696859774796955,11.275504726793024,53.219491767091164,-7.172956158361131
76,2020-07-21,121500.0,0.0,3138553,822074,655343,166731,417862,482862,-65000,-101731,,1898617,2000348,60.493386602042406,-1.2034731727545491,63.734721064133694,10.51522929704253
77,2020-07-20,121500.0,4000.0,4461527,1293929,1372505,-78576,393199,438517,-45318,123894,,2774399,2650505,62.184964923444376,1.6915783214019697,59.40802330681849,-4.326697757315202
78,2020-07-17,117500.0,7500.0,4265529,1169531,950447,219084,962155,239839,722316,-941400,,2133843,3075243,50.025284085514365,-12.159680837930011,72.09523133004137,12.68720802322288
79,2020-07-16,110000.0,1000.0,3254530,990560,784204,206356,498674,551460,-52786,-153570,,1765296,1918866,54.241196117411725,4.215912031897361,58.95984980934267,-13.1353815206987
80,2020-07-15,109000.0,7500.0,4494730,1312241,626806,685435,675907,285478,390429,-1075864,,2506582,3582446,55.76713172982581,1.525935612414088,79.70325247567706,20.74340266633439
81,2020-07-14,101500.0,0.0,1050563,198171,265865,-67694,165759,187279,-21520,89214,,686633,597419,65.35857440248705,9.591442672661238,56.86655631313876,-22.836696162538303
82,2020-07-13,101500.0,3200.0,1376002,350405,263496,86909,344310,84564,259746,-346655,,681287,1027942,49.51206466269671,-15.846509739790342,74.70497862648455,17.838422313345788
83,2020-07-10,98300.0,-1300.0,1099298,180950,429293,-248343,30175,248520,-218345,466688,,888173,421485,80.794561620234,31.282496957537298,38.34128689399962,-36.363691732484924
84,2020-07-09,99600.0,0.0,922604,388069,375602,12467,131587,115887,15700,-28167,,402948,431115,43.67507619737179,-37.11948542286222,46.72806534547866,8.386778451479039
85,2020-07-08,99600.0,400.0,859735,271588,275810,-4222,152226,240320,-88094,92316,,435921,343605,50.70411231367805,7.029036116306266,39.96638499072389,-6.761680354754773
86,2020-07-07,99200.0,-2300.0,1379122,266391,424203,-157812,105792,414196,-308404,466216,,1006939,540723,73.01304743162679,22.308935117948735,39.20777132117391,-0.7586136695499803
87,2020-07-06,101500.0,2300.0,1189877,392810,271891,120919,209389,52631,156758,-277677,,587678,865355,49.38981087961193,-23.62323655201486,72.72642466406192,33.518653342888015
88,2020-07-03,99200.0,200.0,569575,150757,221749,-70992,50284,70987,-20703,91695,,368534,276839,64.70333143133038,15.313520551718454,48.6044858008164,-24.121938863245525
89,2020-07-02,99000.0,800.0,730963,311865,220826,91039,106154,122159,-16005,-75034,,312944,387978,42.81256370021465,-21.89076773111573,53.07765235723285,4.4731665564164516
90,2020-07-01,98200.0,500.0,640540,267532,197401,70131,91747,64641,27106,-97237,,281261,378498,43.90998220251663,1.0974185023019771,59.09045492865395,6.012802571421098
91,2020-06-30,97700.0,0.0,988987,267166,247301,19865,147348,394970,-247622,227757,,574473,346716,58.08701226608641,14.17703006356978,35.05769034375578,-24.032764584898167
92,2020-06-29,97700.0,-2300.0,943424,132360,312298,-179938,81189,207201,-126012,305950,,729875,423925,77.36447238993284,19.27746012384643,44.934727121633536,9.877036777877755
93,2020-06-26,100000.0,600.0,670161,124147,215839,-91692,48985,127490,-78505,170197,,497029,326832,74.16561095020451,-3.198861439728333,48.769176362098065,3.8344492404645294
94,2020-06-25,99400.0,-3600.0,1084453,110787,393346,-282559,52205,305897,-253692,536251,,921461,385210,84.97011857590877,10.804507625704261,35.521133695973916,-13.24804266612415
